Group,Population,X,Y
93,130,29717.892822423542,8477.176519157365
94,176,11530.881418743113,7827.640397598967
95,407,12180.41754030314,7827.640397598967
96,53,12829.953661863052,7827.640397598967
97,146,13479.48978342308,7827.640397598967
98,5,14778.562026543135,7827.640397598967
99,110,15428.098148103163,7827.640397598967
100,248,16077.634269663191,7827.640397598967
101,341,16727.17039122322,7827.640397598967
102,54,18026.242634343274,7827.640397598967
103,158,18675.778755903302,7827.640397598967
104,421,19325.31487746333,7827.640397598967
105,134,19974.850999023358,7827.640397598967
106,9,20624.387120583386,7827.640397598967
107,83,29068.35670086363,7827.640397598967
108,348,29717.892822423542,7827.640397598967
109,5,30367.42894398357,7827.640397598967
110,13,7633.664689382946,7178.104276038706
111,158,11530.881418743113,7178.104276038706
112,3,12180.41754030314,7178.104276038706
113,323,15428.098148103163,7178.104276038706
114,667,16077.634269663191,7178.104276038706
115,37,16727.17039122322,7178.104276038706
116,21,18675.778755903302,7178.104276038706
117,5,19325.31487746333,7178.104276038706
118,71,2437.3757169027813,6528.568154478446
119,36,15428.098148103163,6528.568154478446
120,313,16077.634269663191,6528.568154478446
121,147,16727.17039122322,6528.568154478446
122,3,488.767352222756,5879.032032918185
123,7,1138.3034737827838,5879.032032918185
124,37,1787.8395953428117,5879.032032918185
125,4,2437.3757169027813,5879.032032918185
126,5,6984.128567822918,5879.032032918185
127,42,12829.953661863052,5879.032032918185
128,65,13479.48978342308,5879.032032918185
129,47,14778.562026543135,5879.032032918185
130,112,15428.098148103163,5879.032032918185
131,7,16077.634269663191,5879.032032918185
132,5,-160.7687693372718,5229.495911357924
133,128,488.767352222756,5229.495911357924
134,69,1138.3034737827838,5229.495911357924
135,6,2437.3757169027813,5229.495911357924
136,45,6334.59244626289,5229.495911357924
137,11,6984.128567822918,5229.495911357924
138,2,7633.664689382946,5229.495911357924
139,6,8283.200810942973,5229.495911357924
140,74,10881.345297183085,5229.495911357924
141,93,11530.881418743113,5229.495911357924
142,136,12180.41754030314,5229.495911357924
143,602,12829.953661863052,5229.495911357924
144,737,13479.48978342308,5229.495911357924
145,357,14129.025904983107,5229.495911357924
146,210,14778.562026543135,5229.495911357924
147,78,-160.7687693372718,4579.959789797664
148,17,488.767352222756,4579.959789797664
149,104,6334.59244626289,4579.959789797664
150,239,6984.128567822918,4579.959789797664
151,113,7633.664689382946,4579.959789797664
152,112,8283.200810942973,4579.959789797664
153,84,8932.736932503001,4579.959789797664
154,153,10231.809175623057,4579.959789797664
155,165,10881.345297183085,4579.959789797664
156,471,11530.881418743113,4579.959789797664
157,819,12180.41754030314,4579.959789797664
158,394,12829.953661863052,4579.959789797664
159,42,13479.48978342308,4579.959789797664
160,362,14129.025904983107,4579.959789797664
161,16,14778.562026543135,4579.959789797664
162,127,-160.7687693372718,3930.423668237403
163,67,488.767352222756,3930.423668237403
164,17,2437.3757169027813,3930.423668237403
165,8,6334.59244626289,3930.423668237403
166,2,6984.128567822918,3930.423668237403
167,49,7633.664689382946,3930.423668237403
168,314,8283.200810942973,3930.423668237403
169,176,8932.736932503001,3930.423668237403
170,206,9582.27305406303,3930.423668237403
171,312,10231.809175623057,3930.423668237403
172,427,10881.345297183085,3930.423668237403
173,756,11530.881418743113,3930.423668237403
174,666,12180.41754030314,3930.423668237403
175,323,12829.953661863052,3930.423668237403
176,27,14129.025904983107,3930.423668237403
177,13,-160.7687693372718,3280.887546679005
178,159,488.767352222756,3280.887546679005
179,24,1138.3034737827838,3280.887546679005
180,55,1787.8395953428117,3280.887546679005
181,115,2437.3757169027813,3280.887546679005
182,85,3086.911838462809,3280.887546679005
183,51,3736.447960022837,3280.887546679005
184,3,4385.984081582865,3280.887546679005
185,12,5035.520203142893,3280.887546679005
186,58,5685.05632470292,3280.887546679005
187,15,6334.59244626289,3280.887546679005
188,10,7633.664689382946,3280.887546679005
189,238,8283.200810942973,3280.887546679005
190,325,8932.736932503001,3280.887546679005
191,549,9582.27305406303,3280.887546679005
192,485,10231.809175623057,3280.887546679005
193,495,10881.345297183085,3280.887546679005
194,946,11530.881418743113,3280.887546679005
195,544,12180.41754030314,3280.887546679005
196,206,12829.953661863052,3280.887546679005
197,36,13479.48978342308,3280.887546679005
198,6,14129.025904983107,3280.887546679005
199,6,1138.3034737827838,2631.3514251187444
200,13,1787.8395953428117,2631.3514251187444
201,45,3086.911838462809,2631.3514251187444
202,83,3736.447960022837,2631.3514251187444
203,126,4385.984081582865,2631.3514251187444
204,218,5035.520203142893,2631.3514251187444
205,184,5685.05632470292,2631.3514251187444
206,9,6334.59244626289,2631.3514251187444
207,71,6984.128567822918,2631.3514251187444
208,38,7633.664689382946,2631.3514251187444
209,151,8283.200810942973,2631.3514251187444
210,426,8932.736932503001,2631.3514251187444
211,288,9582.27305406303,2631.3514251187444
212,680,10231.809175623057,2631.3514251187444
213,791,10881.345297183085,2631.3514251187444
214,780,11530.881418743113,2631.3514251187444
215,185,12180.41754030314,2631.3514251187444
216,98,12829.953661863052,2631.3514251187444
217,370,5035.520203142893,1981.8153035584837
218,477,5685.05632470292,1981.8153035584837
219,482,6334.59244626289,1981.8153035584837
220,535,6984.128567822918,1981.8153035584837
221,121,7633.664689382946,1981.8153035584837
222,412,8283.200810942973,1981.8153035584837
223,271,8932.736932503001,1981.8153035584837
224,277,9582.27305406303,1981.8153035584837
225,523,10231.809175623057,1981.8153035584837
226,766,10881.345297183085,1981.8153035584837
227,369,11530.881418743113,1981.8153035584837
228,27,12180.41754030314,1981.8153035584837
229,424,5035.520203142893,1332.279181998223
230,575,5685.05632470292,1332.279181998223
231,499,6334.59244626289,1332.279181998223
232,492,6984.128567822918,1332.279181998223
233,154,7633.664689382946,1332.279181998223
234,304,8283.200810942973,1332.279181998223
235,432,8932.736932503001,1332.279181998223
236,573,9582.27305406303,1332.279181998223
237,457,10231.809175623057,1332.279181998223
238,589,10881.345297183085,1332.279181998223
239,365,11530.881418743113,1332.279181998223
240,17,12180.41754030314,1332.279181998223
241,149,5035.520203142893,682.7430604379624
242,558,5685.05632470292,682.7430604379624
243,385,6334.59244626289,682.7430604379624
244,157,6984.128567822918,682.7430604379624
245,287,7633.664689382946,682.7430604379624
246,320,8283.200810942973,682.7430604379624
247,266,8932.736932503001,682.7430604379624
248,481,9582.27305406303,682.7430604379624
249,595,10231.809175623057,682.7430604379624
250,176,10881.345297183085,682.7430604379624
251,93,5035.520203142893,33.20693887770176
252,389,5685.05632470292,33.20693887770176
253,293,6334.59244626289,33.20693887770176
254,13,6984.128567822918,33.20693887770176
255,71,7633.664689382946,33.20693887770176
256,26,8283.200810942973,33.20693887770176
257,22,8932.736932503001,33.20693887770176
258,119,9582.27305406303,33.20693887770176
259,261,10231.809175623057,33.20693887770176
260,45,10881.345297183085,33.20693887770176
261,3,7633.664689382946,-616.3291826825589
262,5,8932.736932503001,-616.3291826825589
263,32,9582.27305406303,-616.3291826825589
264,3,10231.809175623057,-616.3291826825589
