Group,Population,X,Y
96,362,29717.892822423542,7827.640397598967
97,13,7633.664689382946,7178.104276038706
98,165,11530.881418743113,7178.104276038706
99,336,15428.098148103163,7178.104276038706
100,694,16077.634269663191,7178.104276038706
101,38,16727.17039122322,7178.104276038706
102,22,18675.778755903302,7178.104276038706
103,74,2437.3757169027813,6528.568154478446
104,38,15428.098148103163,6528.568154478446
105,326,16077.634269663191,6528.568154478446
106,153,16727.17039122322,6528.568154478446
107,39,1787.8395953428117,5879.032032918185
108,43,12829.953661863052,5879.032032918185
109,68,13479.48978342308,5879.032032918185
110,49,14778.562026543135,5879.032032918185
111,117,15428.098148103163,5879.032032918185
112,134,488.767352222756,5229.495911357924
113,72,1138.3034737827838,5229.495911357924
114,47,6334.59244626289,5229.495911357924
115,11,6984.128567822918,5229.495911357924
116,77,10881.345297183085,5229.495911357924
117,96,11530.881418743113,5229.495911357924
118,142,12180.41754030314,5229.495911357924
119,627,12829.953661863052,5229.495911357924
120,768,13479.48978342308,5229.495911357924
121,371,14129.025904983107,5229.495911357924
122,219,14778.562026543135,5229.495911357924
123,81,-160.7687693372718,4579.959789797664
124,17,488.767352222756,4579.959789797664
125,108,6334.59244626289,4579.959789797664
126,249,6984.128567822918,4579.959789797664
127,118,7633.664689382946,4579.959789797664
128,116,8283.200810942973,4579.959789797664
129,87,8932.736932503001,4579.959789797664
130,160,10231.809175623057,4579.959789797664
131,172,10881.345297183085,4579.959789797664
132,490,11530.881418743113,4579.959789797664
133,854,12180.41754030314,4579.959789797664
134,411,12829.953661863052,4579.959789797664
135,44,13479.48978342308,4579.959789797664
136,377,14129.025904983107,4579.959789797664
137,17,14778.562026543135,4579.959789797664
138,132,-160.7687693372718,3930.423668237403
139,69,488.767352222756,3930.423668237403
140,18,2437.3757169027813,3930.423668237403
141,51,7633.664689382946,3930.423668237403
142,327,8283.200810942973,3930.423668237403
143,184,8932.736932503001,3930.423668237403
144,215,9582.27305406303,3930.423668237403
145,325,10231.809175623057,3930.423668237403
146,445,10881.345297183085,3930.423668237403
147,787,11530.881418743113,3930.423668237403
148,694,12180.41754030314,3930.423668237403
149,337,12829.953661863052,3930.423668237403
150,28,14129.025904983107,3930.423668237403
151,14,-160.7687693372718,3280.887546679005
152,166,488.767352222756,3280.887546679005
153,25,1138.3034737827838,3280.887546679005
154,57,1787.8395953428117,3280.887546679005
155,120,2437.3757169027813,3280.887546679005
156,89,3086.911838462809,3280.887546679005
157,53,3736.447960022837,3280.887546679005
158,12,5035.520203142893,3280.887546679005
159,60,5685.05632470292,3280.887546679005
160,15,6334.59244626289,3280.887546679005
161,11,7633.664689382946,3280.887546679005
162,248,8283.200810942973,3280.887546679005
163,339,8932.736932503001,3280.887546679005
164,571,9582.27305406303,3280.887546679005
165,506,10231.809175623057,3280.887546679005
166,516,10881.345297183085,3280.887546679005
167,985,11530.881418743113,3280.887546679005
168,567,12180.41754030314,3280.887546679005
169,214,12829.953661863052,3280.887546679005
170,38,13479.48978342308,3280.887546679005
171,14,1787.8395953428117,2631.3514251187444
172,47,3086.911838462809,2631.3514251187444
173,87,3736.447960022837,2631.3514251187444
