T1,W,k,ICC10,ANT,MF,ICC,Sim,weight
0.011024137249597306,0.3137767272760482,0.6490916365312935,0.7757456910997355,6.014116439756169,1.6822070272121818,0.49669833219042137,20,0.035288567287689934
0.008967126115566717,0.242691976233921,0.4548987375331748,0.6760562522178097,6.222508918546907,1.4828549713113612,0.4797022514958211,21,0.035288567287689934
0.012185155927012869,0.37529693524086905,0.7306991178198875,0.7323841732179366,6.138888750946683,1.466852861633917,0.48041803476774025,22,0.035288567287689934
0.011567544528865105,0.30674171592251154,0.66666154742733,0.7048773681154972,6.000854893612963,1.428650718832428,0.49029956406103675,23,0.035288567287689934
0.008884155182086396,0.18061957396380604,0.3912397702604998,0.5229067022481468,6.468759320272567,1.5882867866167367,0.4979947571432807,24,0.035288567287689934
0.009865456705813907,0.22667203076051043,0.4945482193610675,0.6666970792871888,6.241870587270637,1.4437732604336209,0.4985941576130001,25,0.035288567287689934
0.010026064017974155,0.22522064351261326,0.5013499113055264,0.6127586051557351,6.172664687548956,1.6980720267724796,0.5009273315415872,26,0.035288567287689934
0.010076969380791556,0.30917864716105886,0.527645215056046,0.6387022566210815,5.968686695682746,1.4692660323311455,0.48389112833785597,27,0.009762114555797499
0.010613515660775799,0.29976638350218454,0.5516045163097838,0.6913850901296185,6.126036287698351,1.543501257399659,0.47724885996439603,28,0.014977173744063833
0.00944305080302123,0.45163106621345095,0.5060658686530729,0.7582480730656344,5.962969963860518,1.5554995695839835,0.4798236793741411,29,0.008237849269931192
0.010314227048953463,0.13583270181125068,0.5741856714583142,0.5512777042535204,6.510674549012892,1.5115779819340203,0.48440418612650676,30,0.0051491518871451284
0.010298312328298273,0.07025573744824865,0.5516859734852861,0.5514218156748556,5.833176973514025,1.596087214484538,0.487322347905366,31,0.006998482898183253
0.011279578383773138,0.16979214344198462,0.5782672376488381,0.6189439138483029,6.498107061755842,1.6997879659328756,0.4948117605872554,32,0.004661409547103538
0.011862365943828624,0.23318723038711758,0.6603474321746136,0.68879553140241,6.5831439999195425,1.5991724055791667,0.4900589481098197,33,0.0027357918772148385
0.012042023212188422,0.24086662082990415,0.6872461229204347,0.6635684270606852,6.463905596994986,1.6957787179075494,0.4980546178337246,34,0.0068484357554246585
0.011172427170927927,0.06503752824783846,0.68047115010598,0.5205767680885234,6.019519187982125,1.3883445854713283,0.4880906621935376,35,0.0032324871475456598
0.011950524483110188,0.03854071445447868,0.6539099668337046,0.5774535650951143,6.235958308472735,1.6747870963000802,0.47628042367962453,36,0.005098794279060983
0.009571007340745409,0.38744141879265215,0.45354832308194204,0.6822544860921514,6.482311342790114,1.5944133920876369,0.479270201131415,37,0.003642817898738118
0.009125898690077319,0.21038463947426322,0.41286580430041686,0.6932720496033431,6.112059194271973,1.8085023357208718,0.48560793534092384,38,0.001070681986841787
0.011391733303414912,0.4349513522991497,0.6904630279946492,0.6868583244874646,6.0800757661920475,1.3660111916965643,0.4874191635008326,39,6.82094903933752e-4
0.011450277542613395,0.45503885293237795,0.7495520261041695,0.7976130982990308,6.11384812087215,1.3874435589484562,0.4824478015917093,40,9.985011202785308e-4
0.010197889801580744,0.13995272371954856,0.49008915354279436,0.6319044487832288,6.446971946390937,1.7464783831987476,0.4972583473453175,41,5.320361875031332e-4
0.008302658196620502,0.3323814126447533,0.3533344371397814,0.6565498061440773,6.5567964667208045,1.6879095537794695,0.4851584721657831,42,0.0026612414410445992
0.01144511184935205,0.19946333828366997,0.6074851119624174,0.6696214485428569,6.478193928858829,1.7690988102487974,0.4894416604877416,43,3.8312936433048647e-4
0.01106340696866948,0.25980920765667775,0.5879127621250129,0.6713399268134371,6.213788429295059,1.5608111997744736,0.5053480635030303,44,4.5741354883182216e-4
0.012086863269049043,0.42416587131423666,0.7443826489772859,0.7059231757059772,6.580986327387824,1.492624437311946,0.488389053199003,45,4.056706445333942e-4
0.011458032453531785,0.39248866802661864,0.7033092702534101,0.81096182188552135,6.14074398509772,1.638267063690516,0.5051562764849239,46,5.46980255206739e-4
0.011275771762699439,0.3911751646895351,0.6944910602751977,0.7809329914011199,5.920758239618046,1.612532422550283,0.5016723532289743,47,4.39596315604173e-4
0.011876596362636948,0.3100316072901121,0.7264374918843142,0.6684630327639457,6.554914011543618,1.5331314644398888,0.49779775393289877,48,9.050153597480134e-4
0.011695370953538526,0.5033546961877788,0.6614387102595117,0.8382646307242311,6.217151150150716,1.8365859628310788,0.491758482794979,49,0.001163976472092879
0.011915222795339596,0.13960038294324473,0.6920618992247622,0.6209748355259104,6.272939776826663,1.55839826874353,0.47418495396478166,50,9.064040599035091e-4
