Sim	T1	W	k	Antigen_2016	MF_2016
18	9.987706318497658e-4	0.6021624771878124	0.17239953142125158	2.423030326339878	0.030768639064633375
18	9.987706318497658e-4	0.6021624771878124	0.17239953142125158	2.538635579246079	0.024926180158760594
18	9.987706318497658e-4	0.6021624771878124	0.17239953142125158	2.4197720088131045	0.013411246287958617
19	0.00434916493948549	0.37912287171930076	0.26327718046959486	4.65129638849527	0.36383133545249124
19	0.00434916493948549	0.37912287171930076	0.26327718046959486	4.4184261036468335	0.29942418426103645
19	0.00434916493948549	0.37912287171930076	0.26327718046959486	4.710916661869399	0.30126839752077217
19	0.00434916493948549	0.37912287171930076	0.26327718046959486	4.898405571864387	0.510370498282776
19	0.00434916493948549	0.37912287171930076	0.26327718046959486	4.493518963034085	0.3418146903504561
20	0.007394135140348226	0.5915048433467746	0.08332992622163146	11.976174464405803	5.401095206071669
20	0.007394135140348226	0.5915048433467746	0.08332992622163146	12.420987915233722	5.827201291091087
20	0.007394135140348226	0.5915048433467746	0.08332992622163146	11.31992337164751	5.028735632183908
20	0.007394135140348226	0.5915048433467746	0.08332992622163146	11.427804204388522	5.077106030382077
20	0.007394135140348226	0.5915048433467746	0.08332992622163146	12.263916263227387	5.493790543255707
21	0.0029260072368197144	0.5848032455891371	0.17765062926337122	3.7189131102241326	0.25330058335891925
21	0.0029260072368197144	0.5848032455891371	0.17765062926337122	4.053742802303264	0.2687140115163148
21	0.0029260072368197144	0.5848032455891371	0.17765062926337122	3.7534639273769708	0.2312470138557095
21	0.0029260072368197144	0.5848032455891371	0.17765062926337122	4.0893687898455005	0.31972124901881954
21	0.0029260072368197144	0.5848032455891371	0.17765062926337122	4.059500959692898	0.3397312859884837
22	0.0010213877749629318	0.7258713347837329	0.06287210443988442	2.863259298902863	0.19496158110019496
22	0.0010213877749629318	0.7258713347837329	0.06287210443988442	2.810281987339344	0.14578937272204104
22	0.0010213877749629318	0.7258713347837329	0.06287210443988442	2.9669112028121654	0.21587956594834173
22	0.0010213877749629318	0.7258713347837329	0.06287210443988442	3.1722978137899407	0.22167864240941754
22	0.0010213877749629318	0.7258713347837329	0.06287210443988442	2.9454406714994277	0.1793208698969859
23	0.0010932469787076117	0.751790718548	0.14090496541466563	2.488267407336462	0.02107077866104779
23	0.0010932469787076117	0.751790718548	0.14090496541466563	2.72639876946741	0.03845414343395501
23	0.0010932469787076117	0.751790718548	0.14090496541466563	2.6965212377474534	0.059581010955218144
23	0.0010932469787076117	0.751790718548	0.14090496541466563	2.648842442503528	0.06293146191693047
23	0.0010932469787076117	0.751790718548	0.14090496541466563	2.7121492828084115	0.030559428538686324
24	0.00964370984584093	0.5024711433798075	0.18201609633397312	10.807548615767795	3.3317367563942906
24	0.00964370984584093	0.5024711433798075	0.18201609633397312	13.20740243551635	4.1480487103269725
24	0.00964370984584093	0.5024711433798075	0.18201609633397312	13.44650778714497	4.520576882453478
24	0.00964370984584093	0.5024711433798075	0.18201609633397312	11.624349954114408	3.6937901498929335
24	0.00964370984584093	0.5024711433798075	0.18201609633397312	12.38308800981294	4.101502606562405
25	0.005347608891315758	0.5585026159882546	0.08355750201735646	8.773967516517832	3.1531445762485957
25	0.005347608891315758	0.5585026159882546	0.08355750201735646	8.798131234801923	2.8759070978612593
25	0.005347608891315758	0.5585026159882546	0.08355750201735646	9.083232579116048	3.1723184984742936
25	0.005347608891315758	0.5585026159882546	0.08355750201735646	9.057471264367816	3.5727969348659
25	0.005347608891315758	0.5585026159882546	0.08355750201735646	9.482048827190043	3.555768310196266
26	0.005072414102032781	0.38312815204262735	0.13492912449873984	7.336269628494829	1.639218690157028
26	0.005072414102032781	0.38312815204262735	0.13492912449873984	7.160811251606962	1.7307212617763876
26	0.005072414102032781	0.38312815204262735	0.13492912449873984	7.507438333813226	1.856224205777906
26	0.005072414102032781	0.38312815204262735	0.13492912449873984	6.760843765552621	1.6385283871214733
26	0.005072414102032781	0.38312815204262735	0.13492912449873984	7.582419692402221	1.9911292025882759
27	0.0034974513854831458	0.16651934664696455	0.21155546866357325	3.948578435129128	0.42915165913096787
27	0.0034974513854831458	0.16651934664696455	0.21155546866357325	4.538283955367449	0.4213158907272027
27	0.0034974513854831458	0.16651934664696455	0.21155546866357325	4.082101115213192	0.34240679457505213
27	0.0034974513854831458	0.16651934664696455	0.21155546866357325	4.005514283526078	0.31400781190166194
27	0.0034974513854831458	0.16651934664696455	0.21155546866357325	4.097859327217125	0.4204892966360856
28	0.008485021037049591	0.592753435857594	0.2312427288852632	9.256926952141058	2.0093885962903597
28	0.008485021037049591	0.592753435857594	0.2312427288852632	10.264578524693361	2.3806344543425597
28	0.008485021037049591	0.592753435857594	0.2312427288852632	9.28765862822528	2.355940650998735
28	0.008485021037049591	0.592753435857594	0.2312427288852632	9.31191872123446	2.0434276110994407
28	0.008485021037049591	0.592753435857594	0.2312427288852632	8.940232004302066	1.857186755780902
29	0.00214059546822682	0.015913071483373644	0.291361167607829	2.870859153852039	0.06120419248718537
29	0.00214059546822682	0.015913071483373644	0.291361167607829	2.9446542319868785	0.10298661174047373
29	0.00214059546822682	0.015913071483373644	0.291361167607829	2.940443558435086	0.06708965094213037
29	0.00214059546822682	0.015913071483373644	0.291361167607829	2.784693760294174	0.08426858696901214
29	0.00214059546822682	0.015913071483373644	0.291361167607829	2.8376953312242352	0.06710765986003259
30	0.0073402752680703995	0.4608124401420355	0.1919941463973373	9.11421956026713	2.0149639296580495
30	0.0073402752680703995	0.4608124401420355	0.1919941463973373	8.673254433337164	2.0893178597418514
30	0.0073402752680703995	0.4608124401420355	0.1919941463973373	8.945925741340643	2.1085318867526692
